Id,Category
0,0
1,7
2,0
3,0
4,0
5,7
6,8
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,7
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,8
49,0
50,0
51,0
52,9
53,0
54,0
55,0
56,0
57,0
58,0
59,2
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,2
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,2
82,0
83,0
84,4
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,2
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,2
110,0
111,0
112,0
113,0
114,0
115,8
116,0
117,6
118,0
119,0
120,2
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,9
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,4
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,8
165,0
166,1
167,3
168,0
169,0
170,0
171,9
172,0
173,0
174,0
175,0
176,0
177,9
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,9
188,0
189,0
190,0
191,8
192,0
193,0
194,0
195,0
196,0
197,8
198,0
199,0
200,0
201,0
202,0
203,2
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,6
228,9
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,9
259,8
260,8
261,9
262,0
263,0
264,0
265,9
266,7
267,0
268,0
269,0
270,0
271,0
272,0
273,2
274,0
275,0
276,0
277,0
278,0
279,2
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,5
295,6
296,0
297,0
298,0
299,0
300,0
301,0
302,8
303,0
304,0
305,0
306,9
307,1
308,1
309,1
310,5
311,1
312,3
313,8
314,1
315,1
316,1
317,9
318,1
319,5
320,1
321,1
322,1
323,2
324,5
325,1
326,1
327,2
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,5
340,1
341,1
342,3
343,1
344,4
345,1
346,1
347,2
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,7
358,7
359,8
360,8
361,0
362,3
363,8
364,5
365,5
366,0
367,2
368,8
369,2
370,4
371,2
372,7
373,2
374,2
375,2
376,3
377,2
378,5
379,0
380,0
381,2
382,2
383,2
384,2
385,2
386,2
387,6
388,8
389,2
390,2
391,8
392,5
393,2
394,2
395,2
396,5
397,2
398,2
399,8
400,8
401,2
402,5
403,0
404,2
405,8
406,6
407,0
408,8
409,7
410,8
411,2
412,5
413,2
414,9
415,2
416,9
417,8
418,0
419,2
420,0
421,9
422,8
423,2
424,8
425,0
426,2
427,2
428,2
429,2
430,2
431,7
432,3
433,8
434,7
435,7
436,2
437,2
438,3
439,2
440,2
441,8
442,3
443,5
444,2
445,7
446,7
447,2
448,8
449,2
450,8
451,2
452,2
453,8
454,2
455,2
456,8
457,2
458,8
459,2
460,8
461,2
462,2
463,2
464,2
465,2
466,8
467,2
468,8
469,8
470,2
471,0
472,8
473,8
474,8
475,0
476,2
477,5
478,7
479,9
480,7
481,2
482,8
483,8
484,8
485,8
486,8
487,2
488,7
489,2
490,2
491,8
492,2
493,8
494,9
495,2
496,0
497,2
498,8
499,2
500,2
501,5
502,2
503,7
504,5
505,2
506,2
507,1
508,2
509,2
510,2
511,9
512,0
513,2
514,8
515,2
516,8
517,8
518,4
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,6
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,4
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
580,3
581,3
582,3
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,8
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,0
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,3
627,3
628,3
629,3
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,3
639,3
640,3
641,3
642,3
643,3
644,9
645,3
646,3
647,3
648,3
649,3
650,3
651,3
652,3
653,3
654,3
655,3
656,3
657,3
658,3
659,3
660,0
661,3
662,3
663,4
664,3
665,3
666,3
667,3
668,3
669,3
670,8
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
